,1,1.52101,13.64,4.49,1.10,71.78,0.06,8.75,0.00,0.00.1,1.1
128,130,1.5202,13.98,1.35,1.63,71.76,0.39,10.56,0.0,0.18,2
129,131,1.52177,13.75,1.01,1.36,72.19,0.33,11.14,0.0,0.0,2
130,132,1.52614,13.7,0.0,1.36,71.24,0.19,13.44,0.0,0.1,2
131,133,1.51813,13.43,3.98,1.18,72.49,0.58,8.15,0.0,0.0,2
132,134,1.518,13.71,3.93,1.54,71.81,0.54,8.21,0.0,0.15,2
133,135,1.51811,13.33,3.85,1.25,72.78,0.52,8.12,0.0,0.0,2
134,136,1.51789,13.19,3.9,1.3,72.33,0.55,8.44,0.0,0.28,2
135,137,1.51806,13.0,3.8,1.08,73.07,0.56,8.38,0.0,0.12,2
136,138,1.51711,12.89,3.62,1.57,72.96,0.61,8.11,0.0,0.0,2
137,139,1.51674,12.79,3.52,1.54,73.36,0.66,7.9,0.0,0.0,2
138,140,1.51674,12.87,3.56,1.64,73.14,0.65,7.99,0.0,0.0,2
139,141,1.5169,13.33,3.54,1.61,72.54,0.68,8.11,0.0,0.0,2
140,142,1.51851,13.2,3.63,1.07,72.83,0.57,8.41,0.09,0.17,2
141,143,1.51662,12.85,3.51,1.44,73.01,0.68,8.23,0.06,0.25,2
142,144,1.51709,13.0,3.47,1.79,72.72,0.66,8.18,0.0,0.0,2
143,145,1.5166,12.99,3.18,1.23,72.97,0.58,8.81,0.0,0.24,2
144,146,1.51839,12.85,3.67,1.24,72.57,0.62,8.68,0.0,0.35,2
145,147,1.51769,13.65,3.66,1.11,72.77,0.11,8.6,0.0,0.0,3
146,148,1.5161,13.33,3.53,1.34,72.67,0.56,8.33,0.0,0.0,3
147,149,1.5167,13.24,3.57,1.38,72.7,0.56,8.44,0.0,0.1,3
148,150,1.51643,12.16,3.52,1.35,72.89,0.57,8.53,0.0,0.0,3
149,151,1.51665,13.14,3.45,1.76,72.48,0.6,8.38,0.0,0.17,3
150,152,1.52127,14.32,3.9,0.83,71.5,0.0,9.49,0.0,0.0,3
151,153,1.51779,13.64,3.65,0.65,73.0,0.06,8.93,0.0,0.0,3
152,154,1.5161,13.42,3.4,1.22,72.69,0.59,8.32,0.0,0.0,3
153,155,1.51694,12.86,3.58,1.31,72.61,0.61,8.79,0.0,0.0,3
154,156,1.51646,13.04,3.4,1.26,73.01,0.52,8.58,0.0,0.0,3
155,157,1.51655,13.41,3.39,1.28,72.64,0.52,8.65,0.0,0.0,3
156,158,1.52121,14.03,3.76,0.58,71.79,0.11,9.65,0.0,0.0,3
157,159,1.51776,13.53,3.41,1.52,72.04,0.58,8.79,0.0,0.0,3
158,160,1.51796,13.5,3.36,1.63,71.94,0.57,8.81,0.0,0.09,3
159,161,1.51832,13.33,3.34,1.54,72.14,0.56,8.99,0.0,0.0,3
160,162,1.51934,13.64,3.54,0.75,72.65,0.16,8.89,0.15,0.24,3
161,163,1.52211,14.19,3.78,0.91,71.36,0.23,9.14,0.0,0.37,3
162,164,1.51514,14.01,2.68,3.5,69.89,1.68,5.87,2.2,0.0,5
163,165,1.51915,12.73,1.85,1.86,72.69,0.6,10.09,0.0,0.0,5
164,166,1.52171,11.56,1.88,1.56,72.86,0.47,11.41,0.0,0.0,5
165,167,1.52151,11.03,1.71,1.56,73.44,0.58,11.62,0.0,0.0,5
166,168,1.51969,12.64,0.0,1.65,73.75,0.38,11.53,0.0,0.0,5
167,169,1.51666,12.86,0.0,1.83,73.88,0.97,10.17,0.0,0.0,5
168,170,1.51994,13.27,0.0,1.76,73.03,0.47,11.32,0.0,0.0,5
169,171,1.52369,13.44,0.0,1.58,72.22,0.32,12.24,0.0,0.0,5
170,172,1.51316,13.02,0.0,3.04,70.48,6.21,6.96,0.0,0.0,5
