,1,1.52101,13.64,4.49,1.10,71.78,0.06,8.75,0.00,0.00.1,1.1
0,2,1.51761,13.89,3.6,1.36,72.73,0.48,7.83,0.0,0.0,1
1,3,1.51618,13.53,3.55,1.54,72.99,0.39,7.78,0.0,0.0,1
2,4,1.51766,13.21,3.69,1.29,72.61,0.57,8.22,0.0,0.0,1
3,5,1.51742,13.27,3.62,1.24,73.08,0.55,8.07,0.0,0.0,1
4,6,1.51596,12.79,3.61,1.62,72.97,0.64,8.07,0.0,0.26,1
5,7,1.51743,13.3,3.6,1.14,73.09,0.58,8.17,0.0,0.0,1
6,8,1.51756,13.15,3.61,1.05,73.24,0.57,8.24,0.0,0.0,1
7,9,1.51918,14.04,3.58,1.37,72.08,0.56,8.3,0.0,0.0,1
8,10,1.51755,13.0,3.6,1.36,72.99,0.57,8.4,0.0,0.11,1
9,11,1.51571,12.72,3.46,1.56,73.2,0.67,8.09,0.0,0.24,1
10,12,1.51763,12.8,3.66,1.27,73.01,0.6,8.56,0.0,0.0,1
11,13,1.51589,12.88,3.43,1.4,73.28,0.69,8.05,0.0,0.24,1
12,14,1.51748,12.86,3.56,1.27,73.21,0.54,8.38,0.0,0.17,1
13,15,1.51763,12.61,3.59,1.31,73.29,0.58,8.5,0.0,0.0,1
14,16,1.51761,12.81,3.54,1.23,73.24,0.58,8.39,0.0,0.0,1
15,17,1.51784,12.68,3.67,1.16,73.11,0.61,8.7,0.0,0.0,1
16,18,1.52196,14.36,3.85,0.89,71.36,0.15,9.15,0.0,0.0,1
17,19,1.51911,13.9,3.73,1.18,72.12,0.06,8.89,0.0,0.0,1
18,20,1.51735,13.02,3.54,1.69,72.73,0.54,8.44,0.0,0.07,1
19,21,1.5175,12.82,3.55,1.49,72.75,0.54,8.52,0.0,0.19,1
20,22,1.51966,14.77,3.75,0.29,72.02,0.03,9.0,0.0,0.0,1
21,23,1.51736,12.78,3.62,1.29,72.79,0.59,8.7,0.0,0.0,1
22,24,1.51751,12.81,3.57,1.35,73.02,0.62,8.59,0.0,0.0,1
23,25,1.5172,13.38,3.5,1.15,72.85,0.5,8.43,0.0,0.0,1
24,26,1.51764,12.98,3.54,1.21,73.0,0.65,8.53,0.0,0.0,1
25,27,1.51793,13.21,3.48,1.41,72.64,0.59,8.43,0.0,0.0,1
26,28,1.51721,12.87,3.48,1.33,73.04,0.56,8.43,0.0,0.0,1
27,29,1.51768,12.56,3.52,1.43,73.15,0.57,8.54,0.0,0.0,1
28,30,1.51784,13.08,3.49,1.28,72.86,0.6,8.49,0.0,0.0,1
29,31,1.51768,12.65,3.56,1.3,73.08,0.61,8.69,0.0,0.14,1
30,32,1.51747,12.84,3.5,1.14,73.27,0.56,8.55,0.0,0.0,1
31,33,1.51775,12.85,3.48,1.23,72.97,0.61,8.56,0.09,0.22,1
32,34,1.51753,12.57,3.47,1.38,73.39,0.6,8.55,0.0,0.06,1
33,35,1.51783,12.69,3.54,1.34,72.95,0.57,8.75,0.0,0.0,1
34,36,1.51567,13.29,3.45,1.21,72.74,0.56,8.57,0.0,0.0,1
35,37,1.51909,13.89,3.53,1.32,71.81,0.51,8.78,0.11,0.0,1
