1,1.52101,13.64,4.49,1.10,71.78,0.06,8.75,0.00,0.00,1
112,1.52739,11.02,0.0,0.75,73.08,0.0,14.96,0.0,0.0,2
172,1.51316,13.02,0.0,3.04,70.48,6.21,6.96,0.0,0.0,5
127,1.51667,12.94,3.61,1.26,72.75,0.56,8.6,0.0,0.0,2
188,1.52315,13.44,3.34,1.23,72.38,0.6,8.83,0.0,0.0,7
138,1.51711,12.89,3.62,1.57,72.96,0.61,8.11,0.0,0.0,2
125,1.52177,13.2,3.68,1.15,72.75,0.54,8.52,0.0,0.0,2
176,1.52119,12.97,0.33,1.51,73.39,0.13,11.27,0.0,0.28,5
57,1.51215,12.99,3.47,1.12,72.98,0.62,8.35,0.0,0.31,1
97,1.51841,13.02,3.62,1.06,72.34,0.64,9.13,0.0,0.15,2
163,1.52211,14.19,3.78,0.91,71.36,0.23,9.14,0.0,0.37,3
146,1.51839,12.85,3.67,1.24,72.57,0.62,8.68,0.0,0.35,2
136,1.51789,13.19,3.9,1.3,72.33,0.55,8.44,0.0,0.28,2
121,1.51844,13.25,3.76,1.32,72.4,0.58,8.42,0.0,0.0,2
191,1.51613,13.88,1.78,1.79,73.1,0.0,8.67,0.76,0.0,7
90,1.5164,12.55,3.48,1.87,73.23,0.63,8.08,0.0,0.09,2
193,1.51623,14.2,0.0,2.79,73.46,0.04,9.04,0.4,0.09,7
26,1.51764,12.98,3.54,1.21,73.0,0.65,8.53,0.0,0.0,1
152,1.52127,14.32,3.9,0.83,71.5,0.0,9.49,0.0,0.0,3
117,1.51829,13.24,3.9,1.41,72.33,0.55,8.31,0.0,0.1,2
20,1.51735,13.02,3.54,1.69,72.73,0.54,8.44,0.0,0.07,1
87,1.51569,13.24,3.49,1.47,73.25,0.38,8.03,0.0,0.0,2
166,1.52171,11.56,1.88,1.56,72.86,0.47,11.41,0.0,0.0,5
83,1.51646,13.41,3.55,1.25,72.81,0.68,8.1,0.0,0.0,2
183,1.51916,14.15,0.0,2.09,72.74,0.0,10.88,0.0,0.0,6
101,1.51655,12.75,2.85,1.44,73.27,0.57,8.79,0.11,0.22,2
38,1.51797,12.74,3.48,1.35,72.96,0.64,8.68,0.0,0.0,1
130,1.5202,13.98,1.35,1.63,71.76,0.39,10.56,0.0,0.18,2
49,1.52223,13.21,3.77,0.79,71.99,0.13,10.02,0.0,0.0,1
9,1.51918,14.04,3.58,1.37,72.08,0.56,8.3,0.0,0.0,1
42,1.51755,12.71,3.42,1.2,73.2,0.59,8.64,0.0,0.0,1
21,1.5175,12.82,3.55,1.49,72.75,0.54,8.52,0.0,0.19,1
7,1.51743,13.3,3.6,1.14,73.09,0.58,8.17,0.0,0.0,1
14,1.51748,12.86,3.56,1.27,73.21,0.54,8.38,0.0,0.17,1
55,1.51778,13.21,2.81,1.29,72.98,0.51,9.02,0.0,0.09,1
196,1.51545,14.14,0.0,2.68,73.39,0.08,9.07,0.61,0.05,7
124,1.51707,13.48,3.48,1.71,72.52,0.62,7.99,0.0,0.0,2
24,1.51751,12.81,3.57,1.35,73.02,0.62,8.59,0.0,0.0,1
168,1.51969,12.64,0.0,1.65,73.75,0.38,11.53,0.0,0.0,5
85,1.51409,14.25,3.09,2.08,72.28,1.1,7.08,0.0,0.0,2
153,1.51779,13.64,3.65,0.65,73.0,0.06,8.93,0.0,0.0,3
3,1.51618,13.53,3.55,1.54,72.99,0.39,7.78,0.0,0.0,1
129,1.52068,13.55,2.09,1.67,72.18,0.53,9.57,0.27,0.17,2
66,1.52099,13.69,3.59,1.12,71.96,0.09,9.4,0.0,0.0,1
